pronunciation	standard
시워리 좋다만 우리 그때는 하고 싶은 것도 못하고 공물이 많아서	세월이 좋다만 우리 그때는 하고 싶은 것도 못하고 공물이 많아서
오새는 시월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 골무리 많았어	요새는 시월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 고생이 많았어
전화를 하고 십펃는디 얘기를 하는 중간에 전화 와서 나오기가 어려웠기 어 어려워가 집에 전화 몯탣떼이	전화를 하고 싶었는데  얘기를 하는 중간에 전화 와서 나오기가 어려웠기 어 어려워서 집에 전화 못 했다
전화를 하고 시펀는디 얘기를 하는 중간에 전화 와서 나오기가 어 어려워가 집에 전화 모탣떼이	전화를 하고 싶었는데 얘기를 하는 중간에 전화 와서 나오기가 어 어려워서 집에 전화 못했다
어무이 지금 차 타고 지 나갈라꼬 하는디 혹시 읍내로 나가시면 태워 드릴게예	어머니 지금 차 타고 장에 나가려고 하는데 혹시 읍내로 나가시면 태워 드릴게요
어무이 지금 차 타고 지 나갈라꼬 하는디 혹시 읍내로 나가시면 태워 드릴께예	어머니 지금 차 타고 저 나가려고 하는데 혹시 읍내로 나가시면 태워 드릴게요
어깨가 뻐근한데 얼음찜질 좀 하게 냉장고에 얼음 좀 꺼내줘	어깨가 뻐근한데 얼음찜질 좀 하게 냉장고에 얼음 좀 꺼내줘
어깨가 뻐근한데 얼음찜질 좀 하게 냉장고에 얼음 좀 꺼내 줘	어깨가 뻐근한데 얼음찜질 좀 하게 냉장고에 얼음 좀 꺼내 줘
마당을 계속 관리해야지 안 그러면 금세 잡초가 자라서 엉망진창 돼요	마당을 계속 관리해야지 안 그러면 금세 잡초가 자라서 엉망진창 돼요
엔나래는 먹을 것이 없으니까 겨울에 고드름도 맛있다고 따 먹고 그랬지요	옛날에는 먹을 것이 없으니까 겨울에 고드름도 맛있다고 따 먹고 그랬지요
제사를 안 모실 것 같으면 모르지만 제사를 모실 것 같으면 정성을 들여야 합니다	제사를 안 모실 것 같으면 모르지만 제사를 모실 것 같으면 정성을 들여야 합니다
밭이 별로 크지도 않으니까 양배추보다는 상추 같은 걸 씹는 게 졷켇쓰요	밭이 별로 크지도 않으니까 양배추보다는 상추 같은 걸 씹는 게 좋겠어요
옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
산에 가서 조곰만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다	산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다
산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다	산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다
도리깨가 깨나 무거워서 허리에 다칠 수 있으니까 타작 털 때 살살 두드려	도리깨가 깨나 무거워서 허리에 다칠 수 있으니까 타작 털 때 살살 두드려
도리깨가 깨나 무거워서 허리에 다칠 수 있으니까 타작 털 때 살살 두드려	도리깨가 깨나 무거워서 허리에 다칠 수 있으니까 타작 털 때 살살 두드려
옛날에는 특별한 간식이 없으니까 옥수수나 감자 같은 걸 먹고 그랬어요	옛날에는 특별한 간식이 없으니까 옥수수나 감자 같은 걸 먹고 그랬어요
장작으로 쓸 나무는 쪼개서 저쪽 담장에 밑에 쌓아 두면 됩니다	장작으로 쓸 나무는 쪼개서 저쪽 담장에 밑에 쌓아 두면 됩니다
여기까지 오시느라 욕 봤는데 시원한 물이라도 한 잔 드세요	여기까지 오시느라 욕 봤는데 시원한 물이라도 한 잔 드세요
여기꺼지 오시느라 욕봤는데 시원한 물이라도 한 잔 드세요	여기까지 오시느라 욕봤는데 시원한 물이라도 한 잔 드세요
요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네요	요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네요
오랜만에 가족끼리 와서 외식 한번 하자고 하는데 그것도 못하면 어떡해요	오랜만에 가족끼리 와서 외식 한번 하자고 하는데 그것도 못하면 어떡해요
섀옫 입으니까 사람이 달라 보이는데 전부터 내가 옷 쫌 사 입으라고 하지 않았나	새옷 입으니까 사람이 달라 보이는데 전부터 내가 옷 좀 사 입으라고 하지 않았나
새 옷 입으니까 사람이 달라 보이는데 전부터 내가 옷 쫌 사 입으라고 하지 않았으니	새 옷 입으니까 사람이 달라 보이는데 전부터 내가 옷 좀 사 입으라고 하지 않았으니
처음 시집 왔을 때 생선국을 보고 이가 비린내가 나서 어떻게 먹을지 걱정했습니다	처음 시집 왔을 때 생선국을 보고 이거 비린내가 나서 어떻게 먹을지 걱정했습니다
오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버려서 깜짝 놀랐어	오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버려서 깜짝 놀랐어
수술비가 한푼 한두 푼도 아닌데 갑자기 돈 얘기를 하면 어쩌라는 말이냐	수술비가 한푼 한두 푼도 아닌데 갑자기 돈 얘기를 하면 어쩌라는 말이냐
추석 때 차례 지내면서 조상께 감사하다고 인사를 잘해야 된다	추석 때 차례 지내면서 조상께 감사하다고 인사를 잘해야 된다
수박은 큰 게 맛있다고 하는데 차매는 작은 게 맛있는 겁니까	수박은 큰 게 맛있다고 하는데 참외는 작은 게 맛있는 겁니까
등에 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요	등에 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요
등에 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요.	등에 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요.
나이가 드이꺼네 기까지 어두워져가 사람들이 무슨 말을 해도 잘 못 알아듣겠니 듣겠니 듣껜니더	나이가 드니까 귀까지 어두워져서 사람들이 무슨 말을 해도 잘 못 알아듣겠니 듣겠니 듣겠습니다
나이가 드이끄네 귀까지 어두워져가 사람들이 무신 말을 해도 잘 못 알아듣껜니더	나이가 드니까 귀까지 어두워져서 사람들이 무슨 말을 해도 잘 못 알아듣겠습니다
시 아버님께서 옷 차려 입고 나가시면 사람들이 멋쟁이라고 많이 말씀하셨어요	시 아버님께서 옷 차려 입고 나가시면 사람들이 멋쟁이라고 많이 말씀하셨어요
시아버님께서 옷 차려 입고 나가시면 사람들이 먿째이라고 많이 말씀하셨어요	시아버님께서 옷 차려 입고 나가시면 사람들이 멋쟁이라고 많이 말씀하셨어요
애넘드리 쌀을 다 뺏어가 버려서 없으니까 매일 꽁보리밥에 못 먹었지	왜놈들이 쌀을 다 뺏어가 버려서 없으니까 매일 꽁보리밥에 못 먹었지
왜놈들이 쌀을 다 뺏어가 버려서 없으니까 매일 꽁보리밥에 못 먹었지	왜놈들이 쌀을 다 뺏어가 버려서 없으니까 매일 꽁보리밥에 못 먹었지
채독에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 보입니다	채독에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 보입니다
대지머리에 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬어요	돼지머리에 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬어요
대지 머리 갖다 놓고 쿠판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬어요	돼지 머리 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬어요
너므 무시 구디기가 어딘지 아는 사람들은 다른 집 무시를 빼가기도 했지요	남의 모 구덩이가 어딘지 아는 사람들은 다른 집 무를 빼가기도 했지요
금이 무시 구디기가 어딘지 아는 사람들은 다른 지 무시를 빼 가기도 했지요	금이 무 구덩이가 어딘지 아는 사람들은 다른 집 무를 빼 가기도 했지요
뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 보내면 큰일 납니다	뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 보내면 큰일 납니다
뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 바르므 큰일 납니다	뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 바르면 큰일 납니다
평생을 농사만 지으니꺼네 허리가 구버가 인자는 똑바로 걸을 수가 엄니더	평생을 농사만 지으니까 허리가 굽어서 이제는 똑바로 걸을 수가 없습니다
평생을 농사만 지어니까네 허리가 구버가 인자는 똑바로 그럴 수가 없습니다	평생을 농사만 지으니까 허리가 굽어서 이제는 똑바로 그럴 수가 없습니다
닭을 달구통에 넣어두지 않으면 밤에 산 짐승이 내려 내려와가 물고 가 삐림니다	닭을 닭의장에 넣어두지 않으면 밤에 산 짐승이 내려 내려와서 물고 가 버립니다
비단을 어떻게 짜는지 그 과정을 한번 좀 말씀해 주시렵니까	비단을 어떻게 짜는지 그 과정을 한번 좀 말씀해 주시렵니까
콘센트에 코드를 너무 많이 꽂으면 불이 날 수도 있으니까 정밀 정말 위험합니다	콘센트에 코드를 너무 많이 꽂으면 불이 날 수도 있으니까 정밀 정말 위험합니다
콘세트에 코드를 너무 많이 꽂으면 불이 날 수도 있으니까 정밀 정말 위험합니다	콘센트에 코드를 너무 많이 꽂으면 불이 날 수도 있으니까 정말 정말 위험합니다
자슥뜰 때문에 열심히 사란는디 인자 자슥뜨리 이래쿠럼 날 챙겨주이꺼네 고맙찌로	자식들 때문에 열심히 살았는데 이제 자식들이 이렇게 날 챙겨주니까 고맙지
자슥뜰 때문에 열심히 사랃는디 인자 자슥뜨리 이래쿠럼 날 챙겨주이꺼네 고맙찌로	자식들 때문에 열심히 살았는데 이제 자식들이 이렇게 날 챙겨주니까 고맙지
태풍 때문에 바람이 시게 부이꺼네 산사태가 날까봐 잠을 한숨도 못 잡니다	태풍 때문에 바람이 세게 부니까 산사태가 날까봐 잠을 한숨도 못 잡니다
태풍 때문에 바람이 세게 부니까네 산사태가 날까 봐 잠을 한숨도 못 잡니다	태풍 때문에 바람이 세게 부니까 산사태가 날까 봐 잠을 한숨도 못 잡니다
베를 짜다가 줄이 터져 비만 끊어진 베를 마카 이사가 다시 짜야 합니다	베를 짜다가 줄이 터져 그만 끊어진 베를 묶어 연결해서 다시 짜야 합니다
베를 짜다가 줄이 터져 비만 끊어진 데를 마카 이사가 다시 짜야 함니데이	베를 짜다가 줄이 터져 버리면 끊어진 데를 모두 이어서 다시 짜야 합니다
감기약 먹고 졸릴 때는 사고 날 수 있으니까 갱운기 몰지 마세요	감기약 먹고 졸릴 때는 사고 날 수 있으니까 경운기 몰지 마세요
남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하면서 놀았지요	남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하면서 놀았지요
덴짱꾹 끓이고 호박 밥 해서 양넘장으로 비버 먹으면 달콤한 게 맛있어요	된장국 끓이고 호박 밥 해서 양념장으로 비벼 먹으면 달콤한 게 맛있어요
올해는 날씨가 좋아서 농사도 잘 되고 밭떼기로 팔고 하니까 기분 좋습니다	올해는 날씨가 좋아서 농사도 잘 되고 밭떼기로 팔고 하니까 기분 좋습니다
올해는 날씨가 좋아서 농사도 잘됐고 밭떼기로 팔고 하니까 기분 좋습니다	올해는 날씨가 좋아서 농사도 잘됐고 밭떼기로 팔고 하니까 기분 좋습니다
요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버려서 큰일입니다	요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버려서 큰일입니다
요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버리면 버려서 큰일입니다	요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버리면 버려서 큰일입니다
마을 모 심는 날에는 사람들이 같이 여기저기 다니면서 품앗이를 합니다	마을 모 심는 날에는 사람들이 같이 여기저기 다니면서 품앗이를 합니다
상낭하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬어요	상량하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬어요
우리 어머이는 솜씨가 조아가 옷도 잘 맹글고 음슥또 맛깔나게로 했습니다	우리 어머니는 솜씨가 좋아서 옷도 잘 만들고 음식도 맛깔나게 했습니다
인두를 화루에 올려놓고 뜨겁게 달구어서 인두질을 하지	인두를 화로에 올려놓고 뜨겁게 달구어서 인두질을 하지
인두를 화루에 올려놓고 뜨겁게 달구어서 인두질을 하지	인두를 화로에 올려놓고 뜨겁게 달구어서 인두질을 하지
지금 얼른 밥상부터 차릴 어 테니꺼네 배가 고프더라도 조금만 참으시소	지금 얼른 밥상부터 차릴 어 테니까 배가 고프더라도 조금만 참으세요
지금 얼른 밥상부터 차릴 테니꺼네 배가 고푸드라도 조금만 차므시시오	지금 얼른 밥상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
소는 털이 까만 것도 있고 빨간 것도 있는데 그래도 누른 게 제일 만치라	소는 털이 까만 것도 있고 빨간 것도 있는데 그래도 누런 게 제일 많지요
시아버님께서 늦게까지 안 드러오믄 홀애비가 불 켜놓고 밤새 기다리고 그럽 그럽니다	시아버님께서 늦게까지 안 들어오면 홀애비가 불 켜놓고 밤새 기다리고 그럽 그럽니다
시아버님께서 늦게까지 안 들어오면 홀애비가 불 켜놓고 밤새 기다리고 그랜니더	시아버님께서 늦게까지 안 들어오면 홀애비가 불 켜놓고 밤새 기다리고 그랬습니다
날이 추우니까 손은 시리지만 그래도 우리 일이니깐 별로 피곤한 줄도 모르겠다	날이 추우니까 손은 시리지만 그래도 우리 일이니깐 별로 피곤한 줄도 모르겠다
올해는 날씨도 좋았고 비도 적당하게 와서 밭농사가 정말 잘된 편이다	올해는 날씨도 좋았고 비도 적당하게 와서 밭농사가 정말 잘된 편이다
자슥뜰 서울에서 직장 댕기는디 바빠가 연락은 잘 몬해도 잘 잊지 안캔능교	자식들 서울에서 직장 다니는데 바빠서 연락은 잘 못해도 잘 잊지 않겠습니까
자석들 서울에서 직장 댕기는디 바빠가 연락은 잘 몬테도 잘 있지 안켓는겨	자식들 서울에서 직장 다니는데 바빠서 연락은 잘 못해도 잘 있지 않겠습니까
얼라가 놀이공원에 가자고 저렇게 짭치는디 바빠도 한 번은 가보시더	아이가 놀이공원에 가자고 저렇게 조르는데 바빠도 한 번은 가 봅시다
일이 힘들어도 돈 벌리 버리가 손주들 용돈이라도 줄 수 읻쓰니께 조치라	일이 힘들어도 돈 벌리 벌어서 손주들 용돈이라도 줄 수 있으니까 좋지
이 구두 신은 지 오 년이 지났으니까 금이 다 달라서 이제는 버려야겠다	이 구두 신은 지 오 년이 지났으니까 금이 다 닳아서 이제는 버려야겠다
나물 무칠 때는 간을 간간하게 잘 맞추어야지 안 그러면 쓴맛이 나서 안 데	나물 무칠 때는 간을 간간하게 잘 맞추어야지 안 그러면 쓴맛이 나서 안 돼
나물 무칠 때는 간을 간간하게 잘 맞추어야지 안 그러면 쓴 맛이 나서 안 돼	나물 무칠 때는 간을 간간하게 잘 맞추어야지 안 그러면 쓴 맛이 나서 안 돼
담장은 납작한 돌멩이로 가지고 쭉 이어 만들기도 하는데 다 그렇지는 않아요	담장은 납작한 돌멩이로 가지고 쭉 이어 만들기도 하는데 다 그렇지는 않아요
휴가 때만 되면 사람들이 여기 놀러 와서 쓰레기를 함부로 버리니까 지긋지긋합니다	휴가 때만 되면 사람들이 여기 놀러 와서 쓰레기를 함부로 버리니까 지긋지긋합니다
휴가 때만 되면 사람들이 여개 놀러 와서 쓰레기를 함부로 버리니까 지긋지긋합니다	휴가 때만 되면 사람들이 여기 놀러 와서 쓰레기를 함부로 버리니까 지긋지긋합니다
오늘 비 올 것 가트니께네 우산 잘 챙기가지고 이레삐지 말고 단디 챙겨가온나	오늘 비 올 것 같으니까 우산 잘 챙겨서 잃어버리지 말고 단단히 챙겨서 와
오늘 비 올 것 가트니끼네 우산 잘 챙겨가지고 이래삐지 말고 단디 챈겨가 온나	오늘 비 올 것 같으니까 우산 잘 챙겨가지고 잃어버리지  말고 단단히  챙겨서 와라
여기는 촌구석이라 방오네 갈라꼬 하면 차를 타고 한참을 나가야 된데이	여기는 촌구석이라 병원에 가려고 하면 차를 타고 한참을 나가야 된다
가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요	가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요	가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
삼신할머니한테 자식들 공부 잘하고 가족들 건강하게 해 달라고 빌었지	삼신할머니한테 자식들 공부 잘하고 가족들 건강하게 해 달라고 빌었지
알라가 어제부텀 열이 안 떨어지는데 이러다 킬라는 게 애인지 모리겓따	아이가 어제부터 열이 안 떨어지는데 이러다 큰일 나는 게 아닌지 모르겠다
피가 안 멈추고 이러쿠름 계속 나면 병원에 가봐야 하는 거 아인교	피가 안 멈추고 이렇게 계속 나면 병원에 가봐야 하는 거 아니에요
코피가 안 멈추고 이러쿠럼 계속 나면 병원에 가 봐야 하는 거 아닌겨	코피가 안 멈추고 이렇게 계속 나면 병원에 가 봐야 하는 거 아닌가요
요새는 애무도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했어요	요새는 예물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했어요
요새는 에물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했어요	요새는 예물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했어요
겨울에는 바지 저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다	겨울에는 바지 저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다
겨울에는 바지저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다	겨울에는 바지저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다
지금 안개도 짙고 파도가 높아서 배가 전혀 못 다닌다고 하더라	지금 안개도 짙고 파도가 높아서 배가 전혀 못 다닌다고 하더라
지금 안개도 짙고 파도가 놉파스 배가 전혀 못 다닌다고 하더라	지금 안개도 짙고 파도가 높아서 배가 전혀 못 다닌다고 하더라
이부치 좀 시끄러워도 사이가 불편해질 까 봐 고미 참고 사란니더	이웃이 좀 시끄러워도 사이가 불편해질 까 봐 그냥 참고 살았습니다
이부치 좀 시끄러워도 사이가 불편해질까 봐 고미 참고 사랏니더	이웃이 좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았습니다
지난주에 상초도 송가 노앗으니꺼네 사월 초쯤 데마 무글 수 있을 겁니다	지난주에 상추도 심어 놓았으니까 사월 초쯤 되면 먹을 수 있을 겁니다
지난주에 상추도 숨가 노으니꺼네 사월 초쯤 되면 먹을 수 있을 겁니다	지난주에 상추도 심어 놓았으니까 사월 초쯤 되면 먹을 수 있을 겁니다
여개는 시골이라 교통이 좀 불편한디 공기도 깨껌하게 경치가 참 조아예	여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하게 경치가 참 좋아요
여기는 시골이라 교통이 좀 불펴난디 공기도 깨끄만게 경치가 참 조아예	여기는 시골이라 교통이 좀 불편한데 공기도 개운한게 경치가 참 좋아요
씨라기를 새이끼에 영따서 말려놨다가 낭중에 국 끼릴 때 영가 먹으면 마시써예	시래기를 새끼줄에 엮어서 말려놨다가 나중에 국 끓일 때 넣어 먹으면 맛있어요
시라기를 새끼에 영따서 말려놨다가 난중에 국 끓일 때 연가 먹으면 맛있어요	시래기를  새끼에 엮어서 말려놨다가 나중에 국 끓일 때 넣어 먹으면 맛있어요
돼지 잡을 때는 어른이 여럿이 붙어야지 안 그라모 힘드러가 못 잡습니다	돼지 잡을 때는 어른이 여럿이 붙어야지 안 그러면 힘들어서 못 잡습니다
돼지 잡을 때는 어른이 여럿이 붙어야지 안 그라모 힘드러가 못 잡습니다	돼지 잡을 때는 어른이 여럿이 붙어야지 안 그러면 힘들어서 못 잡습니다
빨리 무그면 과식하게 되니께네 배고파도 찬찬히 드시기 좋습니다	빨리 먹으면 과식하게 되니까 배고파도 찬찬히 드시기 좋습니다
비가 많이 오믄 축대부터 살피고 이험하다 싶으면 퍼뜩 집에서 나와야 합니다	비가 많이 오면 축대부터 살피고 위험하다 싶으면 얼른 집에서 나와야 합니다
운동을 안 하면 좋은 약을 마이 무거도 아무 소양이 업씀니다이	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없습니다
두릅은 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도 했어요	두릅은 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도 했어요
어릴 때 핵꾜를 못 가고 풀 비러 가고 소 풀 먹이러 다니고 그랬습니다	어릴 때 학교를 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬습니다
어릴 때 핵꾜는 못 가고 풀 비러 가고 소 풀 먹이러 다니고 그랬습니다	어릴 때 학교는 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬습니다
여름철에는 모든 음식을 잘 이카 먹고 물도 꼭 끼린 것만 드셔야 돼	여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드셔야 돼
여름철에는 모든 음식을 잘 익카 먹고 물도 꼭 끼린 것만 드시야 데예	여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드셔야 돼요
모기향을 피우면 화재 위험이 읻쓰니끼네 모 모구장을 잘 놓 잘 쳐 놓고 주무시는 게 조아예	모기향을 피우면 화재 위험이 있으니까 모 모기장을 잘 놓 잘 쳐 놓고 주무시는 게 좋아요
모기향을 피우면 화재 위험이 있으니꺼네 모구장을 잘 잘 쳐놓고 주무시는 게 좋아예	모기향을 피우면 화재 위험이 있으니까 모기장을 잘 잘 쳐놓고 주무시는 게 좋아요
엘리베이터에 갇히면 억지로 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요	엘리베이터에 갇히면 억지로 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요
엘리베터에 갇히면 억지로 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요	엘리베터에 갇히면 억지로 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요
스님이 시주하러 오만 마이는 못 드려도 쌀을 쪼매쓱 담아 드리고 그랜니더	스님이 시주하러 오면 많이는 못 드려도 쌀을 조금씩 담아 드리고 그랬어요
스님이 시주하러 오만 마이는 못 드려도 쌀을 쪼매쓱 담아 드리고 그랬스 그랜니더	스님이 시주하러 오면 많이는 못 드려도 쌀을 조금씩 담아 드리고 그랬스 그랬습니다
일을 잘 할 수 이쓰만 지가 맡아서 하든지 아이믄 당신이 노가리는 하지 말아야지요	일을 잘 할 수 있으면 지가 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지요
일을 잘 할 수 있으면 지가 맡아서 하든지 아니면 당신이 노가리는 하지 말아야지요	일을 잘 할 수 있으면 자기가 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지요
베틀로 옷을 만들어 입으셨다고 했는데 옷 만드는 과정을 말씀해 주시겠어요	베틀로 옷을 만들어 입으셨다고 했는데 옷 만드는 과정을 말씀해 주시겠어요
베틀로 옷을 만들어 입으셨다고 했는데 옷 만드는 과정을 말씀해 주시겠어요	베틀로 옷을 만들어 입으셨다고 했는데 옷 만드는 과정을 말씀해 주시겠어요
우리 며느리는 농사 일을 잘 못해도 청소 하나는 정갈스럽게 잘 합니다	우리 며느리는 농사 일을 잘 못해도 청소 하나는 정갈스럽게 잘 합니다
점심 때 돌잔치가 가기 어떠냐 마이 무걷는지 배불리 저녁을 못 먹었겠어요	점심 때 돌잔치가 가기 어떠냐 많이 먹었는지 배불리 저녁을 못 먹었겠어요
츠메는 형한테 화가 많이 났 음 낟썬는디 얘기를 듣다 보이꺼네 이해가 되려고 합니다	처음에는 형한테 화가 많이 났 음 났었는데 얘기를 듣다 보니까 이해가 되려고 합니다
처음에는 형한테 화가 마이 나썼는디 얘기를 듣다 보이끄네 이해가 되려고 합니다	처음에는 형한테 화가 많이 났었는데 얘기를 듣다 보니까 이해가 되려고 합니다
